Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=0, max_workers=2, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=1, max_workers=2, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Using seed: 0
Using seed: 0
Using GPU: False
Using GPU: False
Rank: 0. World Size: 2
Rank: 1. World Size: 2
Dataset cifar10 loaded
Dataset cifar10 loaded
Rank,1,Initialization Time: 1.8638
Rank,0,Initialization Time: 1.8638
Rank: 0, Epoch: 0, Training ...
Rank: 1, Epoch: 0, Training ...
Rank, 0, Epoch, 0, Iteration, 64, It. time, 1.0932s,Elapsed time,71.5599
Rank, 1, Epoch, 0, Iteration, 65, It. time, 1.0971s,Elapsed time,72.6522
Rank, 0, Epoch, 0, Iteration, 65, It. time, 1.0971s,Elapsed time,72.6570
Rank, 1, Epoch, 0, Iteration, 66, It. time, 1.0880s,Elapsed time,73.7403
Rank, 0, Epoch, 0, Iteration, 66, It. time, 1.0885s,Elapsed time,73.7454
Rank, 1, Epoch, 0, Iteration, 67, It. time, 1.1159s,Elapsed time,74.8562
Rank, 0, Epoch, 0, Iteration, 67, It. time, 1.1158s,Elapsed time,74.8612
Rank, 0, Epoch, 0, Iteration, 68, It. time, 1.1045s,Elapsed time,75.9657
Rank, 1, Epoch, 0, Iteration, 68, It. time, 1.1045s,Elapsed time,75.9606
Rank, 0, Epoch, 0, Iteration, 69, It. time, 1.0912s,Elapsed time,77.0569
Rank, 1, Epoch, 0, Iteration, 69, It. time, 1.0913s,Elapsed time,77.0519
Rank, 1, Epoch, 0, Iteration, 70, It. time, 1.0976s,Elapsed time,78.1495
Rank, 0, Epoch, 0, Iteration, 70, It. time, 1.0976s,Elapsed time,78.1546
Rank, 0, Epoch, 0, Iteration, 71, It. time, 1.0980s,Elapsed time,79.2525
Rank, 1, Epoch, 0, Iteration, 71, It. time, 1.0980s,Elapsed time,79.2476
Rank, 0, Epoch, 0, Iteration, 72, It. time, 1.1229s,Elapsed time,80.3754
Rank, 1, Epoch, 0, Iteration, 72, It. time, 1.1229s,Elapsed time,80.3705
Rank, 1, Epoch, 0, Iteration, 73, It. time, 1.0971s,Elapsed time,81.4676
Rank, 0, Epoch, 0, Iteration, 73, It. time, 1.0972s,Elapsed time,81.4727
Rank, 1, Epoch, 0, Iteration, 74, It. time, 1.1488s,Elapsed time,82.6165
Rank, 0, Epoch, 0, Iteration, 74, It. time, 1.1490s,Elapsed time,82.6216
Rank, 0, Epoch, 0, Iteration, 75, It. time, 1.0957s,Elapsed time,83.7173
Rank, 1, Epoch, 0, Iteration, 75, It. time, 1.0959s,Elapsed time,83.7124
Rank, 0, Epoch, 0, Iteration, 76, It. time, 1.0865s,Elapsed time,84.8038
Rank, 1, Epoch, 0, Iteration, 76, It. time, 1.0865s,Elapsed time,84.7989
Rank, 0, Epoch, 0, Iteration, 77, It. time, 1.0894s,Elapsed time,85.8932
Rank, 1, Epoch, 0, Iteration, 77, It. time, 1.0894s,Elapsed time,85.8882
Rank, 0, Epoch, 0, Iteration, 78, It. time, 1.1103s,Elapsed time,87.0035
Rank, 1, Epoch, 0, Iteration, 78, It. time, 1.1102s,Elapsed time,86.9985
Rank, 0, Epoch, 0, Iteration, 79, It. time, 1.1029s,Elapsed time,88.1065
Rank, 1, Epoch, 0, Iteration, 79, It. time, 1.1031s,Elapsed time,88.1016
Rank, 1, Epoch, 0, Iteration, 80, It. time, 1.0892s,Elapsed time,89.1908
Rank, 0, Epoch, 0, Iteration, 80, It. time, 1.0892s,Elapsed time,89.1956
Rank, 0, Epoch, 0, Iteration, 81, It. time, 1.0872s,Elapsed time,90.2828
Rank, 1, Epoch, 0, Iteration, 81, It. time, 1.0876s,Elapsed time,90.2784
Rank, 0, Epoch, 0, Iteration, 82, It. time, 1.0965s,Elapsed time,91.3793
Rank, 1, Epoch, 0, Iteration, 82, It. time, 1.0962s,Elapsed time,91.3747
Rank, 0, Epoch, 0, Iteration, 83, It. time, 1.1103s,Elapsed time,92.4896
Rank, 1, Epoch, 0, Iteration, 83, It. time, 1.1104s,Elapsed time,92.4850
Rank, 0, Epoch, 0, Iteration, 84, It. time, 1.0890s,Elapsed time,93.5786
Rank, 1, Epoch, 0, Iteration, 84, It. time, 1.0890s,Elapsed time,93.5740
Rank, 1, Epoch, 0, Iteration, 85, It. time, 1.1183s,Elapsed time,94.6923
Rank, 0, Epoch, 0, Iteration, 85, It. time, 1.1184s,Elapsed time,94.6970
Rank, 0, Epoch, 0, Iteration, 86, It. time, 1.0822s,Elapsed time,95.7792
Rank, 1, Epoch, 0, Iteration, 86, It. time, 1.0823s,Elapsed time,95.7746
Rank, 0, Epoch, 0, Iteration, 87, It. time, 1.0819s,Elapsed time,96.8611
Rank, 1, Epoch, 0, Iteration, 87, It. time, 1.0819s,Elapsed time,96.8565
Rank, 0, Epoch, 0, Iteration, 88, It. time, 1.0896s,Elapsed time,97.9507
Rank, 1, Epoch, 0, Iteration, 88, It. time, 1.0896s,Elapsed time,97.9462
Rank, 1, Epoch, 0, Iteration, 89, It. time, 1.0848s,Elapsed time,99.0309
Rank, 0, Epoch, 0, Iteration, 89, It. time, 1.0848s,Elapsed time,99.0355
Rank, 0, Epoch, 0, Iteration, 90, It. time, 1.0863s,Elapsed time,100.1218
Rank, 1, Epoch, 0, Iteration, 90, It. time, 1.0863s,Elapsed time,100.1173
Rank, 1, Epoch, 0, Iteration, 91, It. time, 1.0851s,Elapsed time,101.2024
Rank, 0, Epoch, 0, Iteration, 91, It. time, 1.0852s,Elapsed time,101.2069
Rank, 0, Epoch, 0, Iteration, 92, It. time, 1.0928s,Elapsed time,102.2998
Rank, 1, Epoch, 0, Iteration, 92, It. time, 1.0929s,Elapsed time,102.2953
Rank, 1, Epoch, 0, Iteration, 93, It. time, 1.0919s,Elapsed time,103.3872
Rank, 0, Epoch, 0, Iteration, 93, It. time, 1.0923s,Elapsed time,103.3921
Rank, 0, Epoch, 0, Iteration, 94, It. time, 1.0919s,Elapsed time,104.4840
Rank, 1, Epoch, 0, Iteration, 94, It. time, 1.0922s,Elapsed time,104.4795
Rank, 1, Epoch, 0, Iteration, 95, It. time, 1.1155s,Elapsed time,105.5949
Rank, 0, Epoch, 0, Iteration, 95, It. time, 1.1158s,Elapsed time,105.5999
Rank, 0, Epoch, 0, Iteration, 96, It. time, 1.1106s,Elapsed time,106.7105
Rank, 1, Epoch, 0, Iteration, 96, It. time, 1.1107s,Elapsed time,106.7056
