Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=0, max_workers=2, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=1, max_workers=2, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Using seed: 0
Using seed: 0
Using GPU: False
Using GPU: False
Rank: 1. World Size: 2
Rank: 0. World Size: 2
Dataset cifar10 loaded
Dataset cifar10 loaded
Rank,1,Initialization Time: 1.9356
Rank: 1, Epoch: 0, Training ...
Rank,0,Initialization Time: 1.9359
Rank: 0, Epoch: 0, Training ...
Rank, 1, Epoch, 0, Iteration, 51, It. time, 1.1463s,Elapsed time,60.7434
Rank, 0, Epoch, 0, Iteration, 51, It. time, 1.1477s,Elapsed time,60.7014
Rank, 1, Epoch, 0, Iteration, 52, It. time, 1.1642s,Elapsed time,61.9075
Rank, 0, Epoch, 0, Iteration, 52, It. time, 1.1615s,Elapsed time,61.8629
Rank, 1, Epoch, 0, Iteration, 53, It. time, 1.1431s,Elapsed time,63.0507
Rank, 0, Epoch, 0, Iteration, 53, It. time, 1.1442s,Elapsed time,63.0071
Rank, 0, Epoch, 0, Iteration, 54, It. time, 1.1588s,Elapsed time,64.1659
Rank, 1, Epoch, 0, Iteration, 54, It. time, 1.1551s,Elapsed time,64.2058
Rank, 0, Epoch, 0, Iteration, 55, It. time, 1.1538s,Elapsed time,65.3197
Rank, 1, Epoch, 0, Iteration, 55, It. time, 1.1717s,Elapsed time,65.3775
Rank, 1, Epoch, 0, Iteration, 56, It. time, 1.1484s,Elapsed time,66.5258
Rank, 0, Epoch, 0, Iteration, 56, It. time, 1.1677s,Elapsed time,66.4874
Rank, 1, Epoch, 0, Iteration, 57, It. time, 1.1696s,Elapsed time,67.6955
Rank, 0, Epoch, 0, Iteration, 57, It. time, 1.1563s,Elapsed time,67.6438
Rank, 0, Epoch, 0, Iteration, 58, It. time, 1.1394s,Elapsed time,68.7832
Rank, 1, Epoch, 0, Iteration, 58, It. time, 1.1455s,Elapsed time,68.8410
Rank, 1, Epoch, 0, Iteration, 59, It. time, 1.1560s,Elapsed time,69.9970
Rank, 0, Epoch, 0, Iteration, 59, It. time, 1.1585s,Elapsed time,69.9417
Rank, 0, Epoch, 0, Iteration, 60, It. time, 1.1693s,Elapsed time,71.1110
Rank, 1, Epoch, 0, Iteration, 60, It. time, 1.1682s,Elapsed time,71.1652
Rank, 1, Epoch, 0, Iteration, 61, It. time, 1.1500s,Elapsed time,72.3152
Rank, 0, Epoch, 0, Iteration, 61, It. time, 1.1583s,Elapsed time,72.2694
Rank, 0, Epoch, 0, Iteration, 62, It. time, 1.1483s,Elapsed time,73.4177
Rank, 1, Epoch, 0, Iteration, 62, It. time, 1.1520s,Elapsed time,73.4672
Rank, 1, Epoch, 0, Iteration, 63, It. time, 1.1488s,Elapsed time,74.6160
Rank, 0, Epoch, 0, Iteration, 63, It. time, 1.1513s,Elapsed time,74.5689
Rank, 0, Epoch, 0, Iteration, 64, It. time, 1.1486s,Elapsed time,75.7175
Rank, 1, Epoch, 0, Iteration, 64, It. time, 1.1515s,Elapsed time,75.7674
Rank, 0, Epoch, 0, Iteration, 65, It. time, 1.1409s,Elapsed time,76.8584
